no.,english,spanish,italian
1,ice cream,helado,gelato
2,coffee,café,caffè
3,please,por favor,per favore
4,tea,té,tè
5,thankyou,thankyou,grazie
6,yes,sí,sì
7,to turn,girar,viro
8,train,tren,treno
9,station,estación,stazione
10,to visit,visitar,visitare
11,to drink,beber,bere
12,when,cuando,quando
13,to sing,cantar,cantare
14,to dance,bailar,ballare
15,to study,estudiar,studio
16,to live,vivir,vivi
17,one,uno,una
18,shirt,camisa,camicia
19,small,pequeño,piccolo
20,tall,alto,alto
21,new,nuevo,nuovo
22,house,casa,casa
23,fish,pescado,pesce
24,chicken,pollo,pollo
25,salad,ensalada,insalata
26,menu,menú,menù
27,friend,amigo,amico
28,restaurant,restaurant,ristorante
29,with,con,con
30,no,no,no
31,milk,leche,latte
32,sugar,azucar,zucchero
33,sky,cielo,cielo
34,isn't it,verdad,vero
35,mother,madre,madri
36,father,padre,padre
37,moon,luna,luna
38,here,aquí,qui
39,bank,banco,banca